,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
267,0.44,0.901,9,-4.733,1,0.0598,0.0531,0.000361,0.927,0.519,202.389
268,0.772,0.526,0,-8.723,1,0.0701,0.649,2.88e-06,0.125,0.566,124.071
269,0.555,0.835,0,-4.712,0,0.0408,0.0329,2.34e-05,0.0937,0.476,98.007
270,0.409,0.92,11,-5.439,0,0.12,0.00719,0.00105,0.0823,0.37,145.085
271,0.213,0.634,4,-12.967,0,0.0596,0.369,0.00199,0.359,0.354,174.443
272,0.759,0.568,9,-12.67,1,0.0312,0.137,0.00312,0.228,0.647,122.372
273,0.334,0.974,11,-2.311,0,0.1,0.00869,0.0,0.37,0.33,102.823
274,0.638,0.918,9,-6.294,0,0.0385,0.00437,0.0706,0.331,0.723,125.066
275,0.648,0.896,2,-4.254,1,0.041,0.00138,0.000819,0.0879,0.468,128.115
276,0.638,0.664,2,-5.767,1,0.0294,0.00872,0.00451,0.173,0.323,96.078
277,0.753,0.863,5,-7.084,1,0.113,0.613,7.03e-06,0.0478,0.964,139.964
278,0.512,0.724,7,-4.752,1,0.045,0.00398,8.88e-06,0.101,0.836,164.292
279,0.698,0.863,4,-2.133,1,0.0474,0.0124,0.0,0.128,0.952,111.987
280,0.659,0.714,3,-3.688,1,0.0263,0.0213,1.14e-06,0.0891,0.184,80.961
281,0.438,0.401,3,-9.631,1,0.0317,0.319,0.0,0.234,0.322,172.89
282,0.424,0.871,2,-5.606,1,0.0909,0.0165,0.0,0.193,0.797,184.864
283,0.356,0.331,7,-11.065,1,0.0435,0.445,0.0,0.891,0.263,111.995
284,0.724,0.891,11,-7.818,1,0.0995,0.00344,4.72e-05,0.3,0.818,103.022
285,0.619,0.781,5,-7.455,0,0.0393,0.0243,0.000286,0.402,0.533,126.267
286,0.372,0.865,2,-4.918,1,0.0381,0.000453,0.0,0.234,0.478,174.53
287,0.415,0.748,1,-5.294,1,0.0341,0.000212,0.000101,0.529,0.338,131.892
288,0.688,0.843,5,-6.231,0,0.0486,0.0506,0.000764,0.321,0.867,106.516
289,0.519,0.737,10,-8.7,1,0.0437,0.645,1.77e-06,0.271,0.668,82.999
290,0.436,0.529,11,-13.818,0,0.103,0.636,1.22e-05,0.0849,0.685,147.361
291,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148
292,0.491,0.583,7,-10.964,1,0.0376,0.185,0.0,0.406,0.908,150.566
293,0.726,0.631,11,-8.136,0,0.0334,0.22,0.0,0.193,0.746,124.711
294,0.551,0.825,5,-6.24,0,0.044,0.152,6.2e-06,0.0999,0.933,164.857
295,0.258,0.0971,0,-13.002,1,0.0302,0.94,0.0,0.122,0.0767,65.346
296,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167
297,0.725,0.528,9,-11.269,0,0.0283,0.158,9.9e-05,0.105,0.544,98.598
298,0.505,0.868,0,-10.796,1,0.0436,0.0795,0.0,0.318,0.742,145.294
299,0.627,0.699,10,-4.504,1,0.0244,0.174,0.0,0.0789,0.535,94.003
300,0.685,0.948,9,-5.182,1,0.0457,0.00513,0.00347,0.17,0.628,104.881
301,0.356,0.793,9,-10.729,1,0.0806,0.000603,3.34e-05,0.121,0.633,190.29
302,0.416,0.546,7,-7.728,1,0.0297,0.492,0.0,0.0845,0.418,159.929
